Notes,Lab Status,label
Flying around blackberry brambles.  Lawton park Seattle 98199 west of ball field.,Negative ID,0
It was about 2.5 inches long and 1 inch stinger,Negative ID,0
Was found laying on a leaf on the ground in the shade in our backyard.,Negative ID,0
Not sure if this is one,Negative ID,0
Could not see it very well and did see a huge wasp back about a month ago before I know about these Hornets... so still not sure,Negative ID,0
The hornet has spent over 5 minutes on our Allium flowers.,Negative ID,0
"outside office on a rhody leaf; eating a grasshopper.  Not sure if it is a murder hornet, but wanted to report just in case",Negative ID,0
The picture is bad and does not really show what we witnessed. The sun was reflecting off the top of it and washed out the colors. It had an orange head and orange and black stripes. It was at least 1 1/2 inches long,Negative ID,0
Can tel it discolored because it’s been dead but found it on the ground in a grocery store and it had a stinger,Negative ID,0
"Observed bee, above my garage door, looks like Asian hornet, from my vantage point. He is just sitting there, about 10 minutes now. I don't know how long he has been there. My son and I saw one at his house, about a hour earlier, that bee was missing his",Negative ID,0
"Not sure if this is one, but reporting just in case. Coming in and backing out of in ground hole",Negative ID,0
Seems to make hole in ground only for themselves,Negative ID,0
On my grandson’s flip flop.  About 2” long.,Negative ID,0
Is this an Asian Hornet?,Negative ID,0
Found on patio,Negative ID,0
Chased me multiple times,Negative ID,0
"While staining deck, hornet was on the side of railing.",Negative ID,0
"This is the second time I have seen one like in the picture attached, but I was unable to grab a camera at the time. (approximately 1 week ago)",Negative ID,0
several at one time feeding in a sea holly (blue) plant,Negative ID,0
Was found alive and floating in the pool on a hot afternoon. It is about 1.75 inches long. It has large pincers not visible in the photos.,Negative ID,0
Call me ASAP still alive,Negative ID,0
Crawling around in a flower pot,Negative ID,0
Prob not a kidder hornet- it is small maybe 3/4 inch long- thought it might be a juvenile? It just looked odd to me- took pics before I whacked it,Negative ID,0
not sure what the neck this is but thought we would report and find out.,Negative ID,0
About 1” in length. After reviewing pictures lack orange color on face,Negative ID,0
We just noticed this suspected hornet outside our bedroom window on the second floor at 10:30pm. It was trying to enter the room and likely was attracted by light. We also have more pics and videos.,Negative ID,0
Entering and exiting hole at base of rock wall,Negative ID,0
"Feeding on oregano, very defensive and came at me when I got too close",Negative ID,0
The photo sent is not of the first specimen observed. The first wasp had an orange head and was larger than the one pictured. My husband tried to swat it between his hands and it only stunned the wasp and it flew off north. Then it came back with this sm,Negative ID,0
Dead on my patio.. it’s in a baggie,Negative ID,0
This was dead on our tent pad while camping.,Negative ID,0
It was in the 60s and I was trimming trumpet vines when I looked on the ground this one was crawling on the branch I'd just cut,Negative ID,0
"Found this hornet, dead, in our animals water dish. We are located in Chewelah, Washington in the northeast part of the state.",Negative ID,0
Not sure if this is it or not but I saw this at Jackson Park Golf Course in Seattle wa to the left of the 18th Green,Negative ID,0
Was on our window.,Negative ID,0
Trapped between window and screen. Rough measurement about 1 1/4 in. Seems to match the colors and markings. By far the largest hornet I have seen.,Negative ID,0
Huge bee landed on my wood pile. Appeared to have something in it's mouth. I have captured it alive but don't know how to keep it alive. It is in a mason jar with holes in the lid.,Negative ID,0
We saw one more hornets at least two inches long for a period of a week.  We kept part of them to show the girls.  Am assuming they were traveling through the Odessa area,Negative ID,0
"I saw what appeared to be a bee but this bee was more orange and had a munch longer body than what I’ve ever seen on a bee. I tried to get a video but I was a little freaked out so I got what I could and then crossed the street. Serious though, I’ve",Negative ID,0
"Large, lazy and slow.",Negative ID,0
Neighbor spotted what appeared to be large hornet and killed it. Lost head,Negative ID,0
"We have a camera on our porch, and this ""hornet"" appeared in our security video this evening. We have never seen anything like this before. The video is poor, and there is probably some other explanation, but we wanted to make you are aware of the possib",Negative ID,0
"Black body, head and wings. Yellow stripes on antennae and legs. Found on my driveway just south of Cougar Mountain Regional Wildlife Park in King County, WA",Negative ID,0
Found inside my house,Negative ID,0
photos taken from inside the cab of a Toyota Tacoma. The pic of the rear view mirror indicates the size of the insect.,Negative ID,0
"just found this in our flower bed, huge and lethargic",Negative ID,0
We have never seen this type of bug in our back yard before,Negative ID,0
"The bee was HUGE. My brother killed it, but didn’t keep the body. It was “fighting” with the other (different) bees around it. We have a minute long video that shows it more clearly moving around.",Negative ID,0
Found live on the ground while weeding the garden,Negative ID,0
Not me driving. Sister car coming home from Connell Prison to Tri Cities,Negative ID,0
Much closer inspection appears this may be a golden digger wasp which has never been seen on our property.,Negative ID,0
I saw them on blackberry bushes.  There were 4-5 working over the black berries,Negative ID,0
We have it in a mason jar for reference if needed,Negative ID,0
"Is this an Asian ""murder"" hornet?  It was captured/wounded by our dog who grabbed it from the tree trunk where we had set a trap as instructed.",Negative ID,0
About 1.5” long.,Negative ID,0
"Found in window screen track on 3 windows.  Big cocoons, with empty wasp husks, and dead green crickets stuffed in the hay/dried grasses.  I am assuming for new hatchlings food.  Yuk!for",Negative ID,0
"Found on a woodpile, probably not the Asian Hornet but wanted to report just in case",Negative ID,0
Noticed in Fraser hall at Western Washington University while cleaning the building. Maybe just over an inch long and had some dust on it meaning it probably had been dead for a bit. Didn't have the normal orange that most murder hornets do but had the f,Negative ID,0
I killed it,Negative ID,0
"This insect was spotted and killed (stepped on) by my coworker's son while fishing off the Toutle River, in Castle Rock, Washington.  I think it could be a Saw Elm Fly, but the head color matches Asian Giant Hornet color.  We are unsure and would like cl",Negative ID,0
This Hornet is trapped in between my glass door and screen door- It is Alive,Negative ID,0
Roughly 2 inches long,Negative ID,0
Two large wasp looking insects were dead in my pool skimmer.   They appear to be about 1-1/2” long with black faces.   Assume they may be Elm Sawfly?,Negative ID,0
"Insect was inside home, photo was zoomed in to maximum magnification",Negative ID,0
This insect has been seen near our pool this summer about three times so far. Also we saw this same type of insect at our old home a street away about two years ago! The insect hovered and investigated the grass area near pool and finally settled near a,Negative ID,0
This is MUCH larger than anything I've ever seen. It's still alive and I can try to get better pics if needed.,Negative ID,0
"Bellevue, east of Robinswood park..    Working on mint flowers.  2 of the bees less than 5 minutes.  Left plants east",Negative ID,0
"We were visiting a relatives house in Mukilteo and noticed a very distinctive about 1.5"" orange wasp. I took a picture a bad picture it as I was trying to step on it.",Negative ID,0
"West Seattle resident. Found these two, connected, on the walkway in front of our house. Although we don't believe they are Giant Asian Hornets, have captured and submitting photo just in case. The larger insect is at least an inch long. Feel free to rea",Negative ID,0
Multiple,Negative ID,0
"Trying to observe without getting too close. Have had several of these attempt to get through my windows. Definitely larger, darker coloring, has the 3 eye cluster between the larger two. Reported to building maintenance but wanted to make sure to report",Negative ID,0
It was 2-3 times as big as hornets around it,Negative ID,0
Found in a pool,Negative ID,0
"I think it is a Bald-faced hornet. Lethargic, on inside window sill. Diff. photo angle",Negative ID,0
"Found it near a tomato plant in our yard.  Moves slowly, did not act aggressively at all. Easy to catch.",Negative ID,0
Killed specimen and have saved it,Negative ID,0
"Seen at 200 Hawk Haven Rd Selah, and also at 4 N 1st St Selah WA",Negative ID,0
This doesn't look as stocky as the Asian hornet pictures I've seen but thought I should report it just in case.  Quarter added for scale.,Negative ID,0
I’m not sure but I have never seen one of these,Negative ID,0
"Driving down road from Hurricane Ridge to Port Angeles, this insect flew into our car, landing in the driver’s seat. After pulling over & brushing the stunned insect out of the car & into the road, I was only able to grab a quick photo of the underside",Negative ID,0
Very large. Was crawling on my concrete patio.  I killed it.  Please let me know if it was a Asian Giant Hornet.,Negative ID,0
"Saw in Wednesday June 17, caught it Friday at work.",Negative ID,0
I'm not a beeologist but this thing is big and I just caught 2,Negative ID,0
I live on Totten Inlet near Shelton.,Negative ID,0
Found dead on front porch. Is it a “murder hornet“?,Negative ID,0
This video was picked up by my backyard Blink camera,Negative ID,0
In my backyard in the Mt. Baker neighborhood of seattle sampling mint and basil leaves before flying off,Negative ID,0
"Wondering if it could be a young Asian hornet, it's being very aggressive towards the other bees in my garden actually physically fighting them.",Negative ID,0
Ring in photo is a woman’s wedding ring; bug was smashed when I found it,Negative ID,0
We have it captured in a jar and we have no clue what it is.,Negative ID,0
"On May 15, we found two dead honey bees on the front porch.  Their heads had been removed and were lying nearby.  Attached is a picture of one of the bees.  While we haven't seen any giant hornets, we found the dead bees odd and concerning.  We are prepa",Negative ID,0
Insect trapped between screen and window and later released as didn’t think it was Asian Giant Hornet.,Negative ID,0
Not sure what this is?,Negative ID,0
"We live on the north side of Spokane, WA and this was in our backyard last night flying around my fiance. He was lucky enough to have killed it! It is HUGE! Please feel free to contact me with any questions or information. We are curious to find out what",Negative ID,0
i read the article on them about a week ago and noticed these abnormally big looking bees outside my window and made me curious because they were messing around with the small looking hives i have seen before that are usually around houses. i did not not,Negative ID,0
"Found dead in our wood pile.  Wood pile is two weeks old and while moving the pile to stack it, this guy was found dead on top of a piece of wood. Hornet is intact, and I find it hard to believe that it would have been moved with the pile.",Negative ID,0
Photo shows the wasp (I think) on a plum passion hydrangea flower,Negative ID,0
"clear and warm humid day,  at 0930 I saw it fly and land on the play set in my back yard.",Negative ID,0
"Big hornet many yellow lines, 1,5”, fat, big front legs",Negative ID,0
"Seen flying from flower to flower in backyard, for reference flowers in photos are approx 0.3 inch diameter",Negative ID,0
A very large hornet!,Negative ID,0
"Saw this big bee on my back deck, tried to look it up but I couldn't find a match.  Very large and in my entire life I have not seen one like this in Washington state. Thank you.",Negative ID,0
Seen on the Hibox mountain summit.  Located in center of photo.  Unfortunately I wasn't able to take a better picture before it flew off.  It appears black and yellow in the photo but it had black and orange stripes as I saw it.  There were many flies an,Negative ID,0
Weird bug. Long stinger,Negative ID,0
"We kept our distance as it was huge. It landed on a blade of tall grass near us, and left shortly after. We were at Anderson Point campground at Baker Lake. At the time we didn't have service to verify the species..",Negative ID,0
Flew in patio door at nursing facility,Negative ID,0
We’ve seen 3 that look just like this one,Negative ID,0
"I bagged this hornet on September 16, 2020",Negative ID,0
"Very large, huge stinger. Found dead in our garage.",Negative ID,0
"Never seen a wasp that looks like this, wanted to check it out.",Negative ID,0
very orange,Negative ID,0
This bee flew out of blackberry bushes and it was so large!,Negative ID,0
"I have Moroccan Mint that honey bees are all over entire summer. I went outside and saw this massive bee/hornet. It was on the mint, but then would also chase the other honey bees aggressively. After I took these pictures, another one showed up and they",Negative ID,0
Very large hairless legs,Negative ID,0
I have it see video,Negative ID,0
Hornet is massive with an orange-red color on its lower half. It is approximately 1-1.5 inches long with a massive wingspan,Negative ID,0
Insect was dead in our grass when my 4-year-old son found it.,Negative ID,0
First sighting was last night,Negative ID,0
Pretty sure yellow jacket but better safe than sorry - have it trapped in some Tupperware.,Negative ID,0
It's really big and has been digging holes into the ground,Negative ID,0
We saw this around our yard. Only 1 and just one time. I got a good look at it but couldn’t get a good photo. The wings were big and almost brown in color. It was almost 2Inches long.,Negative ID,0
I saw this insect floating in my kid’s pool. It’s larger than a quarter and next to a frisbee for scale.,Negative ID,0
"We found this at my work and had trapped it in between a window and screen. It was about 2"" long and had a big stinger stingers couple millimetres long, it also had Black and yellow stripes along its body.",Negative ID,0
Found this Asian hornet in a bucket filled with water. It was dead when I found it.,Negative ID,0
"It was in our house, crawling on my  husband's arm. He hit it off and then stomped on it.",Negative ID,0
Unusual buzzing heard; it was located in corner of sun porch in rural farm house.  It was about 1and 1/4 inch long.,Negative ID,0
"Not quite 2 inches but looked over an inch-photo quality doesn’t show size because it flew away before I take a good pic, for reference the other item in the photo is about an inch long and closer to camera",Negative ID,0
It is now dead. Held in jar,Negative ID,0
1.5 in to 2 in long,Negative ID,0
"It had an orangey yellow head, Striped/mottled yellow orange abdomen, was about 2 inches in length, thick through the whole length, there were two, they were burrowing into the sand. Did NOT look like a sand wasp. I couldn’t get close enough to get a p",Negative ID,0
"Bigger and more orange than other bees I've seen. It was at Fred Meyer in Bremerton, WA.",Negative ID,0
"I saw this when going out to water the plants this morning. The insect was well over an inch, maybe 2 inches long. It was on some of the flowers in the garden. I manged to get one picture of it before it flew away. After looking at the pictures above and",Negative ID,0
Pic attached bad view,Negative ID,0
I haven't seen a bug like this before - its wings were long and golden.  It sort of looked like a cross between a wasp and a cricket and I didn't think we had cicada killers here.,Negative ID,0
"Black and yellow/orange, 1/2 inch stinger, very aggressive",Negative ID,0
I know it does not have an orange head but it’s bigger than usual so I wanted to make sure.,Negative ID,0
I HAVE THE HORNET IF WANTED,Negative ID,0
Appeared to be seeking pollen/nectar from succulent blossoms.,Negative ID,0
"I was seated in my front yard and something big flew close to me that got my attention. It landed on a leaf right there in front of my eyes. It was a huge wasp which was nor a simple one, it was the Asian Hornet. The picture I took is not helpful as I ha",Negative ID,0
contractor working at my house reported sighting and provided picture - we aren't sure if it is a murder hornet but wanted to report it just in case,Negative ID,0
Stop video at 14 seconds! Did a looping fly by multiple times and made a distinct sound,Negative ID,0
This was caught by my Ring doorbell.,Negative ID,0
Killed it,Negative ID,0
Found in hole in parking strip at Pine and 36TH Ave,Negative ID,0
Working in the back area of my yard nd saw it on the ground.,Negative ID,0
"Found on our porch. It’s falling apart and looks very emaciated. Can’t see in the photo, but it has a stinger. It also has an antenna that has fallen off.",Negative ID,0
"Saw this on our driveway, squished it (but not enough to kill it), then trapped it in a candle.  It's about 1.5 inches long.",Negative ID,0
This is the second sighting in two days. We killed this one.,Negative ID,0
"9/27/20 On our front porch  840 NE 58th St, Seattle, WA",Negative ID,0
Not sure what this is.,Negative ID,0
Accidentally flew into the car window. Found it under husband bottom on seat. r,Negative ID,0
After looking at your site this might be a bald face hornet but I'm sending a picture just in case.,Negative ID,0
They are very large & very dizzy.  They look like large bumblebees as they are pretty fat,Negative ID,0
We saw a nest and decided to spray it and one wasp came out and was about 2 inches long but flew off. Sending a pic of the nest.,Negative ID,0
Very large Hornet emerging from ground hive.  Making audible noises.  Seen flying last week.,Negative ID,0
"Renton,WA",Negative ID,0
I was moving my lawn when it flew at me I was able to catch it here is a pic,Negative ID,0
This is the second time I've seen one in this particular spot on our property. It is disturbingly large.,Negative ID,0
"I saw 2 hornets in Marysville, Wa. and noticed their size. I was able to catch one. It is in a ziplock bag in my posession.",Negative ID,0
"Very large wasp that landed on my window ledge, see picture.  I did not know at the time to look for an orange face, I don't know what the face color was.  The window ledge is about 3 inches",Negative ID,0
big and fast,Negative ID,0
In spider web dead (hopefully),Negative ID,0
It was unlike anything I had seen before. It looked to be 1 1/4” or longer. And it was incredibly fat.,Negative ID,0
Our son was helping our neighbor with yard work when he heard this bee.  Sorry its decapitated but both pieces are in the picture.,Negative ID,0
Single. On rocks. Slow moving.,Negative ID,0
Longer than 1 inch. It was killed by another camper,Negative ID,0
This was killed. Its huge,Negative ID,0
It appeared injured and couldn't stay on it's feet but kept rolling trying,Negative ID,0
In a flowering herb along with lots of bees. Measures approximately an inch and a half.,Negative ID,0
Its in a Gatorade bottle so its wet,Negative ID,0
"Insect was over 2"" long, had a long ""stinger,"" found on the snow on the approach to Unicorn Peak near Mt. Rainier.  In retrospect, it appears likely to be a Pigeon Tremex Horntail.",Negative ID,0
"This is the third report I have made. My son, daughter-in-law, and I all saw the same type of hornet I sent photos of before. I am including photos of the dead one found in the driveway several days ago, and the one my son saw today.",Negative ID,0
On basil plant in front yard garden,Negative ID,0
I think this is one? I found it writhing around in my backyard on the ground.,Negative ID,0
"Believe we killed a murder hornet at the City of Lacey fuel station on College Street in Lacey, WA. We have it at the Lacey Fire District #3 Headquarters at 1231 Franz Street SE",Negative ID,0
It is a murder hornet found in my front yard in Spokane wa by my kids pool while we were playing out side now that hornet is in my freezer.,Negative ID,0
"My cousin found this hornet while fishing in Roosevelt, WA.",Negative ID,0
Found in my pool clean out basket.,Negative ID,0
"I found this bee this morning on our 6 acre property. It looks to be headless, I thought I should report.",Negative ID,0
Discovered dogs playing with it in the grass and stepped on it before they could be stung. It looked unlike any other bee or hornet I have ever seen around here.,Negative ID,0
Might have one in a jar that I found in garden,Negative ID,0
"Found this on our driveway this evening, looked almost dead when I saw it. Sent my husband out for pictures and to kill it. Forgot to put a coin down for size but it was about 2 inches.",Negative ID,0
Found dead in my driveway,Negative ID,0
"Found on our deck.  It was striking because it was so large.  Also the wings seemed unusual, sticking more out from the body instead of following the contour of the body.  It was alive, but struggling.  The head was also more orange than the typical yell",Negative ID,0
Found in pool.,Negative ID,0
Is this a young version of the Asian Hornet. The board it is on is a 2 x 6 for size reference. This bee was at least 1.5 inches long.,Negative ID,0
"Apologies for the poor quality photos. Insect was approximately 1 inch long, brownish-yellow face and black eyes. Body was brownish-yellow and black striped, and wings appeared to be light brown as well. Probably another insect, but I figured better safe",Negative ID,0
"1 1/2 long, large body with yellow/brown stripes..  see attached picture - bottom pic is one from the internet so we could compare",Negative ID,0
We found a big bee not sure what it is.,Negative ID,0
I found this dead in my driveway and it color and size fought my eye.,Negative ID,0
"This doesn't really look like an Asian giant hornet but it's about 2"" long. Any idea what this could be?",Negative ID,0
"Caught alive, frozen to keep intact and report",Negative ID,0
Hope this is not a giant Asian hornet but never seen this insect before. About 1 1/2 inches long with stinger 1/2 long. Looks like some wikipedia images. Have insect in plastic bag in refrigerator for safe keeping. Have more images,Negative ID,0
Was in the grill of my dad's semi truck. He travels from Chilliwack to Centralia every day. I saved it in a baggie.,Negative ID,0
"Ihave not seen this wasp, hornet  before but it likes Allum nectot",Negative ID,0
I have 3  active mason bee homes on my property. This gigantic hornet that seemed too big for the time of year was interested in the mason bee house before flying away. It was a very large  looking yellow jacket but could not confirm coloring with pictur,Negative ID,0
Found this and thought it might be the Asian murder hornet. It was trapped in a spider net under our outdoor table.,Negative ID,0
I don't know what this is..it is over 1 inch . Orange and black in color,Negative ID,0
A bunch are buzzing around the blackberry bush in our backyard,Negative ID,0
Looks to have the orange on its face. Body is about 2 inches long. The body is dirty in the photo because I swatted it when it approached.,Negative ID,0
Found it hurt on its back on my patio trying to fly,Negative ID,0
Appears to be a hornet much larger than usual yellow jacket,Negative ID,0
"3:53 pm, 7/26/20, Spotted in Ashford, WA. Caught on security camera not sure what it is",Negative ID,0
This half of a seem to be Asian hornet was found by our pool close to a hige hornet hive.,Negative ID,0
"I’m thinking that it’s not the Murder Hornet, but wanted to send you this anyway.",Negative ID,0
"On my NW corner of my 1.78 acre property, I saw three distinctly marked Murder Hornets land amidst the cut Douglas fir tree. We are located on the very public Tolt Pipeline trail and there are more than 20 holes in the ground underneath a row of mature c",Negative ID,0
It’s been in a web so I am unsure if it is discolored due to being eaten or if this is different.,Negative ID,0
"Found dead - it's curled up, would be longer if straight - will keep in case you need to see it.",Negative ID,0
Insect was on path and was unable to move but alive. It was a minimum of 1.5 inches.,Negative ID,0
in lawn,Negative ID,0
"They were coming out of a hole in the ground, and flying",Negative ID,0
Found in road with body area partly damaged. Crunches up it measure about 1.5 inches. Chelan wa,Negative ID,0
Usually seen in the afternoon by our pool and flying low on our dirt hillside. This one that I took a picture was about 2 1/2 inches long.,Negative ID,0
Found in our tent we set up in our yard. There were two and they caught our eye because they were so large. Unsure if they are so figured I would report just in case.,Negative ID,0
"Saw the hornet in a flower, put it in a bag, took 2-3 days forIt to die. I do still have it but likely decomposing",Negative ID,0
I don’t know if this is one or not but see photos attached.,Negative ID,0
"Almost 2"" long. Flying around checking us and dogs out. Stinger is over 1/4"" long",Negative ID,0
It appeared to be dead on my deck. I gave it a wack before placing in bag because I’m very allergic to bees,Negative ID,0
Animal was tired and easy to trap.,Negative ID,0
"It was found on the floor of our garage among some sawdust.  It appears to be partially smashed.  It is only about an 1"" long, but they gotta start small.  We haven't anything like it bussing around here in the 30 years we've lived here.  It is in the fr",Negative ID,0
"Just saw this large wasp. Doesn't look like an Asian giant hornet, but it is larger than any wasp I've seen here. For reference, the metal rectangle at the base of the metal bird is 2 inches wide.",Negative ID,0
It was 1-2” in size.,Negative ID,0
This is only the second year that I’ve seen this wasp or bee in my yard. It’s over an inch long.,Negative ID,0
A friend spotted this a little over a week ago,Negative ID,0
It's about 1.5 inches long. It made a very loud buzzing sound. We captured it alive.,Negative ID,0
"Could not see face, it has a huge body, does not look like other pics I've seen. Sorry if this is not what you are looking for",Negative ID,0
"not sure if this is in fact a murder hornet, but I have never seen one of these...",Negative ID,0
"I have seen an image on my security camera, that looks exactly like an Asian Hornet. The nest is located about 2 feet from my security camera right below my roof. I have included a image of the best. Hopefully you can use this to identify. I am located o",Negative ID,0
"I don’t believe this is a murder hornet but just in case I’m sending it.  If not, could you identify it for me?",Negative ID,0
I saved my photo in my phone and tried looking it up to see what kind of bee it was but didn’t find any information on it. Can you let me know if it’s the Asian bee?I also have more pictures showing it’s size. I have one next to a quarter so you ca,Negative ID,0
"Hello,  I apologize for not reporting this sooner; I was not sure where to report it.  I am almost certain that I had a suzume bachi (“Murder Hornet”) in my greenhouse last Monday the first of June around 1 PM.  I do not own a cell phone, so I am afr",Negative ID,0
"About 2inch long and still alive, call me",Negative ID,0
This morning I saw a large insect flying around. This afternoon while chopping wood I saw a smaller version and killed it. The larger one then came back and I was able to kill it as well.,Negative ID,0
caught two in bee traps. THInk we have a couple more now.,Negative ID,0
"Is this an Asian giant hornet? If not, what is it?",Negative ID,0
"It is a little over 1 inch, and I doubt that it is an Asian Giant Hornet. However, it doesn't look enough like what I am familiar with.",Negative ID,0
We killed it :),Negative ID,0
Ground burrowing,Negative ID,0
"Well from these descriptions here, we think it is not the Asian hornet, but most likely a Bald-faced hornet. What ever it is it is really big and he was inside my house in my kitchen window. We trapped him in a 6"" tall clear plastic ziploc plasitc measur",Negative ID,0
Saw in my ivy. Looked bigger than normal.,Negative ID,0
"Approx 1 1/2 inches long, black eyes, orange wings & antenna",Negative ID,0
"The hornet was on the corner of a pool, and then flew away. We couldn’t hear it buzzing at all",Negative ID,0
Found a dead one,Negative ID,0
I caught a live hornet.  I suspect it is a giant asian hornet,Negative ID,0
"Couldn't get a close look at the distinguishing face. Found on residential property, not threatened. Flew away shortly after picture",Negative ID,0
Not sure... but I’d like to know. I’ve currently have it captured.,Negative ID,0
Appeared near our back porch on a rock and we quickly stomped on it with our shoe.,Negative ID,0
"Sited at my home in Burbank, Wa",Negative ID,0
"Large stinger, mostly black. About 2 inches long body plus stinger and antennae.",Negative ID,0
I’m not sure what wasp this is but there are quite a few of them flying around a neighbors mint plants,Negative ID,0
Found in our shop.,Negative ID,0
My wife went to visit a friend in  Kirkland on an apartment complex and a killer hornet landed on our windshield at the complex. This seems to be a highly populated area,Negative ID,0
"Pics aren't great, but it was definitely not a wasp",Negative ID,0
"Don't think this is the murder hornet but not totally sure, could you please advise as to what it is",Negative ID,0
This thing was HUGE!,Negative ID,0
I saw this trying to start a nest on the eve of my garage door. I hit it 3 times with a broom until it finally left. I have not seen it since then. It was 1 1/2 to 2 inches in length.,Negative ID,0
I have never seen a regular wasp so I'm not sure if this is a regular yellow jacket or if it's something else,Negative ID,0
"Thought this was a hummingbird on our plant and discovered it is some sort of wasp or hornet. Not sure if  it’s the “killer hornet” or not, but wanted to share it just in case.",Negative ID,0
It was dead in a tray of water - a great specimen until I smashed the tar out of it afraid it might come back to life....Sorry!!,Negative ID,0
The insect was found by my son's coworker.  The solitary insect was stepped on and kept.  I took some pictures of it and we also have the sample but would like to keep it if possible. It is approximately 1.25 inches long.  Wingspan is uncertain as they a,Negative ID,0
I have an insect that I h e trapped in myHouse on lake whatcom. The insect is 1.5-2.5 inches long. It is a strange looking insect and thought I’d upload images just in case. Doesn’t seem to be anything alarming but thought it’d be best to try and i,Negative ID,0
"Walking in our field observed these bugs hovering around the ground, & then going into holes.  I’m not sure they’re Asian hornets, because they’re the approximate size of a honey bee.",Negative ID,0
"found dead in back yard ... maybe 1 1/8 "" long",Negative ID,0
Never seen in 46 years of gardening in this property,Negative ID,0
"This thing was assaulting me as I was in my back yard, scared the hell out of me!",Negative ID,0
At Least 2.5 inches in length.,Negative ID,0
Found dead in a swimming pool in the morning,Negative ID,0
"I have a video, a very poor quality photo that's attached.  They are about 1.5"" in length, saw three of them chasing away other bees and fed on flowers.  I first notice them when they buzzed and tapped on my window attempting to fly into the house. very",Negative ID,0
Next door in a house under construction.,Negative ID,0
"Looking at properties today. 4594 Hwy 231, Springdale,wa 10:00am feasting on canadian thistle with othet bees and waspssy",Negative ID,0
It was in our house 2xs,Negative ID,0
"Probably not an Asain Hornet but still a pretty mean looking one that I can't I.D. Second sighting that day, both found while cutting down dead Hemlock trees.",Negative ID,0
I think this is actually an elm saw fly but I wanted to make sure.,Negative ID,0
"This is one giant bee or wasp, well over an inch in length. I have never seen this insect in Washington State and was wondering if this could be the Asian Hornet",Negative ID,0
"We have a dead carcus of a murder hornet. Head still moving. Body has been eaten by bird? wings, head, attenaes, and body skin still intact, just ""guts removed"" by something.",Negative ID,0
Bald faced hornet?,Negative ID,0
"It is currently alive, in a Tupperware jar.",Negative ID,0
I think it may be an elm sawfly but I figured I would submit to be sure. I have a few more pictures. It’s body length was greater than an inch. Looks like a hornet to me.,Negative ID,0
This was in my Seattle garden,Negative ID,0
"Found insect just below edge of headlight upon returning to Colton,  Wa from Pullman,  Wa",Negative ID,0
While cleaning gutters at my parents home,Negative ID,0
we have nests in the ground all over our apt complex.,Negative ID,0
"We found the dead specimen on the Possesssion Lane near 11900-13048 Possession Lane, Edmonds, WA  98026.  We have the specimen if you need to examine it.",Negative ID,0
"The cat caught this. I doon't think it's an asian hornet but it's a good 2"" long and  and I've not seen one like it in 75 years in Western Washington",Negative ID,0
"In my back yard. Large and orange, that’s all I could tell. Tried to keep distance, but wanted to get close enough to take a good photo. Much larger than surrounding bees",Negative ID,0
This big guy just tried to fly in my house in the north Seattle neighborhood of Wallingford.,Negative ID,0
It was about an inch to an inch and a half long. Based on the pictures you have I think it might’ve been a paper wasp but it was much larger than other bees that I see.,Negative ID,0
"Found this laying dead on my back porch.  I dont see any yellow on it, but it is pretty big and like nothing Ive ever seen before",Negative ID,0
"its about 1""+ long and have caught it alive",Negative ID,0
"digging a hole on the beach at Lake Sammamish State Park,  I took a picture being not sure if it was.",Negative ID,0
